lable1,节点,参数,偏差,原因,中间事件,后果
﻿from,节点2：反应进料经反应流出物/反应进料换热器、反应进料加热炉至反应器入口管线部分,压力,燃料气流量过高,反应进料加热炉空气预热器换热效果差,加剧空气预热器低温腐蚀,炉管烧穿
,,开/停工,加热炉空气流量过低,AV2001故障导致开度小,炉出口温度升高,严重时装置停工
,,温度,加热炉空气流量过高,AIC1001假指示低,反应器进料温度低,严重时反应器飞温
,,流量,燃料气流量过低,燃料气流量过高,液位升高,加热炉负荷增大
,,,反应进料加热炉出口温度高,燃料气组分变重,加热炉停车,反应流出物/混合进料换热器壳程出口温度降低
,,,反应进料加热炉出口温度低,混合进料流量过低,加热炉燃烧不充分,炉膛负压下降
,,,反应进料加热炉F-9101压力过高,燃料气带液严重,反应流出物/混合进料换热器壳程出口温度降低,加热炉效率下降
,,,,AIC1001假指示高,炉膛温度降低,可能发生炉膛闪爆
,,,,高压换热器内漏,加氢进料温度降低,可能造成炉膛正压冒火伤人
,,,,加热炉空气流量过高,进料加热炉出口温度降低,反应进料加热炉负荷增大
,,,,TV1041故障导致开度过大,炉管结焦,严重时装置停车
,,,,PV1004A故障导致开度小或关,火嘴燃烧效果差,严重时炉管烧穿
,,,,原料油进料温度低,加热炉燃料气流量降低,反应器飞温
,,,,PV1006故障导致开度小或关,混氢油漏向反应产物,装置停工
,,,,鼓风机故障停,可能造成炉管结焦,可能造成炉管氧腐蚀
,,,,燃料气压力过低,炉管温度升高,加热炉停炉
,,,,反应流出物/混合进料换热器E-9101/A-D换热效果差,加热炉F-9101温度降低,造成炉管氧腐蚀
,,,,阻火器堵塞,加热炉完全不燃烧,影响产品质量
,,,,燃料气管网压力过高,加热炉出口温度升高,长明灯熄灭
,,,,燃料气管网压力过低,燃烧情况不好,
,,,,炉膛内存在瓦斯，与空气混合达到爆炸极限,反应器进料温度降低,
,,,,混氢油流量过高,空气入炉温度降低，影响产品质量,
,,,,引风机故障,烟气含氧量过高,
,,,,,加热炉燃烧状态不好,
,,,,,高压分离器V2002进料温度下降,
,,,,,反应系统操作波动,
