lable1,节点,参数,偏差,原因,中间事件,后果,lable2,风险等级,保护措施,建议措施
﻿from,节点2：反应进料经反应流出物/反应进料换热器、反应进料加热炉至反应器入口管线部分,压力,燃料气流量过高,反应进料加热炉空气预热器换热效果差,加剧空气预热器低温腐蚀,炉管烧穿,to,Ⅱ,FICA1013低报警     ,建议增设阻火器导淋阀
,,开/停工,加热炉空气流量过低,AV2001故障导致开度小,炉出口温度升高,严重时装置停工,,Ⅰ,TI1006,建议增设炉内可燃气在线分析
,,温度,加热炉空气流量过高,AIC1001假指示低,反应器进料温度低,严重时反应器飞温,,Ⅲ,引风机故障联锁,增设PCV1001副线及前后手阀和导淋
,,流量,燃料气流量过低,燃料气流量过高,液位升高,加热炉负荷增大,,,TICA10258高报警       ,
,,,反应进料加热炉出口温度高,燃料气组分变重,加热炉停车,反应流出物/混合进料换热器壳程出口温度降低,,,PICA1006低报警 ,
,,,反应进料加热炉出口温度低,混合进料流量过低,加热炉燃烧不充分,炉膛负压下降,,,防爆门,
,,,反应进料加热炉F-9101压力过高,燃料气带液严重,反应流出物/混合进料换热器壳程出口温度降低,加热炉效率下降,,,TIC1015,
,,,,AIC1001假指示高,炉膛温度降低,可能发生炉膛闪爆,,,TI1030C,
,,,,高压换热器内漏,加氢进料温度降低,可能造成炉膛正压冒火伤人,,,TIA1020高报警,
,,,,加热炉空气流量过高,进料加热炉出口温度降低,反应进料加热炉负荷增大,,,TI1045,
,,,,TV1041故障导致开度过大,炉管结焦,严重时装置停车,,,PIA1005低报警,
,,,,PV1004A故障导致开度小或关,火嘴燃烧效果差,严重时炉管烧穿,,,AIC1001,
,,,,原料油进料温度低,加热炉燃料气流量降低,反应器飞温,,,PIA1005,
,,,,PV1006故障导致开度小或关,混氢油漏向反应产物,装置停工,,,燃料气管网压力低低联锁,
,,,,鼓风机故障停,可能造成炉管结焦,可能造成炉管氧腐蚀,,,TI1042,
,,,,燃料气压力过低,炉管温度升高,加热炉停炉,,,备用阻火器 TIA1020,
,,,,反应流出物/混合进料换热器E-9101/A-D换热效果差,加热炉F-9101温度降低,造成炉管氧腐蚀,,,鼓风机故障联锁,
,,,,阻火器堵塞,加热炉完全不燃烧,影响产品质量,,,AV2001故障限位,
,,,,燃料气管网压力过高,加热炉出口温度升高,长明灯熄灭,,,燃料气管网压力低低联锁,
,,,,燃料气管网压力过低,燃烧情况不好,,,,TIC1005  ,
,,,,炉膛内存在瓦斯，与空气混合达到爆炸极限,反应器进料温度降低,,,,TICA10258高报警,
,,,,混氢油流量过高,空气入炉温度降低，影响产品质量,,,,PDI1003   ,
,,,,引风机故障,烟气含氧量过高,,,,PI1012C,
,,,,,加热炉燃烧状态不好,,,,TIC1015  ,
,,,,,高压分离器V2002进料温度下降,,,,PI1012C  ,
,,,,,反应系统操作波动,,,,TIC1005,
,,,,,,,,,TIA1020,
,,,,,,,,,反应进料加热炉出口温度高高联锁,
,,,,,,,,,TI1014   ,
,,,,,,,,,TIC1015    ,
,,,,,,,,,PIA10048,
,,,,,,,,,TIA1020高报警     ,
,,,,,,,,,PDI1003,
,,,,,,,,,TI1014,
,,,,,,,,,PICA1006低报警,
,,,,,,,,,PI1012A,
,,,,,,,,,高报警反应进料加热炉出口温度高高联锁,
,,,,,,,,,燃料气采样器SA-9303,
,,,,,,,,,炉膛内可燃性气体分析,
,,,,,,,,,引风机入口调节挡板故障限位,
,,,,,,,,,TI1402,
,,,,,,,,,火焰检测器,
,,,,,,,,,电气阀门定位器,
