Head ID,Relation ID,Tail ID
126,4,96
126,4,101
126,4,65
126,4,91
96,5,116
116,8,119
119,2,105
105,2,104
104,3,71
105,2,107
107,3,106
71,1,43
106,1,42
71,7,34
71,7,14
71,7,35
71,7,136
106,7,32
106,7,8
106,7,14
96,5,63
63,8,3
3,3,111
3,3,58
3,2,51
51,3,129
111,1,42
58,1,42
129,1,42
111,7,12
58,7,11
129,7,11
111,7,23
58,7,23
129,7,23
96,5,115
115,8,118
118,2,128
128,2,70
70,3,95
118,2,55
55,3,127
95,1,42
127,1,42
95,7,15
127,7,117
95,7,117
127,7,15
115,8,19
19,3,130
19,3,54
130,1,42
54,1,42
130,6,86
54,6,86
115,8,132
132,2,59
132,2,110
132,2,70
59,3,95
110,3,95
70,3,95
95,1,41
95,7,87
95,6,89
96,5,62
62,8,4
4,2,60
4,2,70
60,3,95
70,3,95
95,1,42
95,7,10
95,7,27
62,8,5
5,2,60
5,2,70
60,3,95
70,3,95
95,1,42
95,7,6
95,7,27
62,8,137
137,2,57
137,2,52
57,3,95
52,3,95
95,1,42
95,7,138
95,7,2
95,7,21
95,7,103
101,5,77
77,8,116
116,2,105
116,2,104
105,3,44
104,3,44
44,1,43
44,7,33
44,7,14
44,7,36
44,7,78
116,2,107
107,3,45
45,1,42
45,7,33
45,7,9
45,7,14
77,8,120
120,2,105
120,2,104
105,3,44
104,3,44
44,1,42
44,7,121
44,7,21
44,7,28
77,8,98
98,2,56
56,2,83
83,3,47
47,1,42
47,7,7
47,7,22
47,7,29
47,7,8
101,5,76
76,8,113
113,2,69
69,3,95
113,3,47
95,1,42
47,1,42
95,7,17
47,7,16
95,7,21
47,7,21
95,7,15
47,7,15
76,8,114
114,2,102
102,2,53
53,2,70
70,3,95
95,1,42
95,7,121
76,8,99
99,2,70
70,3,95
95,1,42
95,7,31
95,7,21
76,8,72
72,3,73
72,3,64
73,1,41
64,1,41
73,7,30
64,7,30
73,7,21
64,7,21
73,7,24
64,7,24
76,8,67
67,3,80
80,1,41
80,7,20
76,8,37
37,2,73
73,3,64
64,1,42
64,7,123
64,7,26
64,7,32
64,7,21
76,8,79
79,2,122
79,2,70
124,3,95
122,3,95
70,3,95
95,1,42
95,7,23
95,7,21
76,8,63
63,2,70
70,3,95
63,2,112
112,3,82
95,1,41
82,1,41
95,7,2
82,7,2
65,5,75
75,8,93
93,2,61
61,3,84
84,1,41
84,7,94
84,7,13
75,8,18
18,2,61
61,3,84
84,1,41
84,7,13
84,7,92
75,8,135
135,2,100
135,2,74
135,2,134
135,2,97
100,3,95
74,3,95
134,3,95
97,3,95
100,3,46
74,3,46
134,3,46
97,3,46
95,1,42
46,1,42
46,7,24
46,7,25
91,8,109
109,3,81
81,1,42
81,7,108
81,7,131
81,6,88
